,!=,#,(,),*,+,",",-,:,:=,;,<,<=,=,>,>=,and,call,do,else,goto,i,if,label,not,null,or,then,while,{,},<<BAND>>,<<BCMP>>,<<BEXPR>>,<<BNOT>>,<<ELIST>>,<<EXPR>>,<<FACTOR>>,<<ID>>,<<LABEL>>,<<NEG>>,<<OPENSTMT>>,<<RELOP>>,<<START>>,<<STMT>>,<<TERM>>,A,L,M,N,S,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s9,0,0,s11,s13,s5,s10,0,0,0,0,s8,s7,0,0,0,0,0,0,0,0,12,0,0,4,0,1,2,0,6,0,0,0,3,
1,0,acc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,r40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,r41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,0,r42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,0,0,s20,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s26,0,0,s18,0,0,0,0,0,0,15,17,14,16,0,19,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
6,0,r34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s33,0,0,s35,s13,s29,s34,0,0,0,0,s32,s31,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,30,27,0,0,28,
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,
